Name,Price,Vin Number,Vehicle Summary,Top features & Specs
2018 MINI Clubman,"$26,990",WMWLN9C57J2E50650,"30,945 miles, automatic transmission, front wheel drive, 22 city / 31 hwy, 5 Seats","Keyless Entry, Tilt & Telescoping Wheel, Bluetooth Wireless, Stability Control, LED Fog Lights"
2020 Mercedes-Benz GLC-Class,"$45,499",W1N0G8DBXLF863596,"11,862 miles, automatic transmission, rear wheel drive, 255 horsepower, gas engine, 22 city / 29 hwy, 5 Seats","Heated Seats, Keyless Entry, Multi-Zone Climate Control, Navigation System, Power Liftgate, Rain-Sensing Wipers, Remote Start, Seat Memory, Steering Wheel Controls, Burmester Sound System, Smart Device Integration, Blind Spot Monitor, Lane Departure Warning, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Turn Signal Mirrors"
2018 Lexus RX 450h,"$43,999",2T2BGMCA0JC028898,"22,025 miles, automatic transmission, all wheel drive, 308 horsepower, hybrid engine, 31 city / 28 hwy, 5 Seats","Adaptive Cruise Control, Auto Climate Control, Dual-Zone Climate Control, Heated Steering Wheel, Navigation System, Power Doors, Power Liftgate, Rain-Sensing Wipers, Rear Heated Seats, Remote Keyless Entry, Steering Wheel Controls, Mark Levinson Sound System, Blind Spot Monitor, Head-Up Display, Rear Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Roof Rails, Turn Signal Mirrors"
2021 INFINITI Q50,"$48,499",JN1FV7DP0MM850045,"1,088 miles, automatic transmission, rear wheel drive, 400 horsepower, gas engine, 20 city / 26 hwy, 5 Seats","Adaptive Cruise Control, Auto Climate Control, Dual-Zone Climate Control, Heated Seats, Heated Steering Wheel, Navigation System, Remote Keyless Entry, Remote Start, Seat Memory, Steering Wheel Controls, Android Auto, Apple Carplay, Blind Spot Monitor, Front Parking Sensors, Lane Departure Warning, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Turn Signal Mirrors"
2016 Chevrolet Camaro,"$36,499",1G1FH3D7XG0183373,"20,063 miles, automatic transmission, rear wheel drive, 16 city / 25 hwy, 4 Seats","Heated Seats, Keyless Entry, Navigation System, Seat Memory, Handsfree/Bluetooth Integration, Head-Up Display, No pressure, Rear Parking Sensors, Rear-View Camera, Stability Control, Automatic Headlights, Heated Mirrors"
2017 Chevrolet Corvette,"$50,499",1G1YA2D74H5102458,"15,429 miles, manual transmission, rear wheel drive, 460 horsepower, gas engine, 16 city / 25 hwy, 2 Seats","Auto Climate Control, Dual-Zone Climate Control, Keyless Ignition, Navigation System, Steering Wheel Controls, Android Auto, Apple Carplay, Handsfree/Bluetooth Integration, Wi-Fi Hotspot, No pressure, Rear-View Camera, Stability Control, Heated Mirrors"
2019 Chevrolet Silverado 1500,"$35,999",1GCRYDEK6KZ254635,"22,321 miles, automatic transmission, four wheel drive, 310 horsepower, gas engine, 6'7” bed length, 6 Seats","Remote Keyless Entry, Steering Wheel Controls, Android Auto, Apple Carplay, Handsfree/Bluetooth Integration, Wi-Fi Hotspot, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Max Trailering Package"
2015 Hyundai Genesis,"$22,499",KMHGN4JE2FU077886,"33,088 miles, automatic transmission, rear wheel drive, 311 horsepower, gas engine, 18 city / 29 hwy, 5 Seats","Adaptive Cruise Control, Auto Climate Control, Dual-Zone Climate Control, Heated Seats, Keyless Ignition, Navigation System, Rain-Sensing Wipers, Steering Wheel Controls, Handsfree/Bluetooth Integration, Blind Spot Monitor, Lane Departure Warning, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Turn Signal Mirrors"
2017 Jeep Wrangler,"$29,499",1C4BJWEG7HL716726,"37,800 miles, manual transmission, four wheel drive, 16 city / 21 hwy, 5 Seats","Remote Keyless Entry, Steering Wheel Controls, Aux Audio Adapter, Handsfree/Bluetooth Integration, Collision Warning System, Stability Control, Tire Pressure Monitoring System, Heated Mirrors, LED Fog Lights"
2017 Honda Pilot,"$24,999",5FNYF6H92HB034249,"101,348 miles, automatic transmission, all wheel drive, 280 horsepower, gas engine, 19 city / 26 hwy, 8 Seats","Adaptive Cruise Control, Auto Climate Control, Heated Seats, Navigation System, Remote Keyless Entry, Remote Start, Seat Memory, Steering Wheel Controls, Three-Zone Climate Control, Android Auto, Apple Carplay, Handsfree/Bluetooth Integration, Collision Warning System, Lane Departure Warning, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Roof Rails, Turn Signal Mirrors"
2020 Ford Expedition,"$47,999",1FMJU1HT1LEA46002,"13,100 miles, automatic transmission, rear wheel drive, 375 horsepower, gas engine, 17 city / 24 hwy, 7 Seats","Auto Climate Control, Keyless Ignition, Steering Wheel Controls, Three-Zone Climate Control, Wi-Fi Hotspot, Rear Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Halogen Headlights, Heated Mirrors, Roof Rails"
2017 Kia Sorento,"$20,999",5XYPHDA5XHG234788,"96,764 miles, automatic transmission, all wheel drive, 290 horsepower, gas engine, 18 city / 25 hwy, 7 Seats","Adaptive Cruise Control, Auto Climate Control, Dual-Zone Climate Control, Heated Seats, Power Liftgate, Remote Keyless Entry, Remote Start, Steering Wheel Controls, Android Auto, Apple Carplay, Handsfree/Bluetooth Integration, Blind Spot Monitor, Collision Warning System, Lane Departure Warning, Rear Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Trailer Hitch, Turn Signal Mirrors"
2019 Ram 1500 Classic,"$28,499",1C6RR6TT7KS603158,"38,195 miles, automatic transmission, rear wheel drive, 395 horsepower, gas engine, 15 city / 22 hwy, 6'4” bed length, 6 Seats","Remote Keyless Entry, Handsfree/Bluetooth Integration, Rear-View Camera, Stability Control, Halogen Headlights, Heated Mirrors, Trailer Wiring"
2020 BMW 4 Series Gran Coupe,"$45,499",WBA4J7C04LBV99588,"24,841 miles, automatic transmission, all wheel drive, 320 horsepower, gas engine, 22 city / 30 hwy, 5 Seats","Keyless Entry, Multi-Zone Climate Control, Navigation System, Power Liftgate, Rain-Sensing Wipers, Rear Heated Seats, Seat Memory, Steering Wheel Controls, Harman/Kardon Sound System, Smart Device Integration, Wi-Fi Hotspot, Front Parking Sensors, Head-Up Display, Lane Departure Warning, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Heated Mirrors, LED Fog Lights, Turn Signal Mirrors"
2018 Chevrolet Cruze,"$15,457",1G1BC5SM3J7223891,"13,331 miles, automatic transmission, front wheel drive, 153 horsepower, gas engine, 29 city / 40 hwy, 5 Seats","Keyless Entry, Apple CarPlay, iPod/MP3 Input, Smart Device Integration, WiFi Hotspot, Electronic Stability Control, Tire Pressure Monitoring System, 1.4L TURBO DOHC 4-CYLINDER DI, Auto-Off Headlights, Tires - Front All-Season"
2018 Jeep Grand Cherokee,"$28,999",1C4RJFAGXJC507085,"22,815 miles, automatic transmission, four wheel drive, 18 city / 25 hwy, 5 Seats","Auto Climate Control, Dual-Zone Climate Control, Remote Keyless Entry, Steering Wheel Controls, Android Auto, Apple Carplay, Aux Audio Adapter, Handsfree/Bluetooth Integration, Rear Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Halogen Headlights, Heated Mirrors, Roof Rails"
2018 Land Rover Range Rover Velar,"$57,499",SALYL2RV7JA743425,"13,872 miles, automatic transmission, all wheel drive, 380 horsepower, gas engine, 18 city / 24 hwy, 5 Seats","Dual-Zone Climate Control, Heated Seats, Keyless Ignition, Navigation System, Power Liftgate, Seat Memory, Steering Wheel Controls, Aux Audio Adapter, Handsfree/Bluetooth Integration, Meridian Sound System, Blind Spot Monitor, Front Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Fog Lights, Heated Mirrors"
2019 Ford Mustang,"$42,499",1FA6P8K03K5506323,"4,079 miles, manual transmission, rear wheel drive, 480 horsepower, gas engine, 15 city / 24 hwy, 4 Seats","Auto Climate Control, Dual-Zone Climate Control, Heated Seats, Heated Steering Wheel, Navigation System, Remote Keyless Entry, Seat Memory, Steering Wheel Controls, Aux Audio Adapter, Bang & Olufsen Sound System, Smart Device Integration, Blind Spot Monitor, Rear Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Turn Signal Mirrors"
2020 Chevrolet Silverado 1500,"$44,499",3GCUYEED6LG175341,"27,062 miles, automatic transmission, four wheel drive, 355 horsepower, gas engine, 19 city / 22 hwy, 5'10” bed length, 5 Seats","Keyless Entry, Remote Start, Steering Wheel Controls, Android Auto, Apple Carplay, Handsfree/Bluetooth Integration, Wi-Fi Hotspot, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Automatic Headlights, Heated Mirrors, Max Trailering Package"
2019 BMW 4 Series,"$47,999",WBA4Z1C59KEE44343,"7,701 miles, automatic transmission, rear wheel drive, 248 horsepower, gas engine, 24 city / 34 hwy, 4 Seats","Auto Climate Control, Dual-Zone Climate Control, Heated Seats, Navigation System, Passive Keyless Entry, Steering Wheel Controls, Handsfree/Bluetooth Integration, Blind Spot Monitor, Front Parking Sensors, No pressure, Stability Control, Fog Lights"
2019 Jaguar E-PACE,"$38,999",SADFP2FX8K1Z47942,"8,993 miles, automatic transmission, all wheel drive, 246 horsepower, gas engine, 21 city / 28 hwy, 5 Seats","Adaptive Cruise Control, Dual-Zone Climate Control, Heated Seats, Heated Steering Wheel, Keyless Entry, Navigation System, Power Liftgate, Rain-Sensing Wipers, Seat Memory, Android Auto, Apple Carplay, Meridian Sound System, Smart Device Integration, Blind Spot Monitor, Lane Departure Warning, Parking Sensors, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, Heated Mirrors, LED Lights"
2017 Porsche Macan,"$47,999",WP1AF2A51HLB61409,"48,456 miles, automated manual transmission, all wheel drive, 400 horsepower, gas engine, 17 city / 23 hwy, 5 Seats","Auto Climate Control, Dual-Zone Climate Control, Heated Seats, Navigation System, Power Liftgate, Remote Keyless Entry, Seat Memory, Steering Wheel Controls, Aux Audio Adapter, Handsfree/Bluetooth Integration, Lane Departure Warning, No pressure, Parking Sensors, Rear-View Camera, Stability Control, Adaptive Headlights, Heated Mirrors, Turn Signal Mirrors"
2017 BMW 3 Series,"$26,499",WBA8B9C58HK676556,"38,009 miles, manual transmission, rear wheel drive, 23 city / 34 hwy, 5 Seats","Auto Climate Control, Dual-Zone Climate Control, Heated Seats, Navigation System, Passive Keyless Entry, Rain-Sensing Wipers, Steering Wheel Controls, Handsfree/Bluetooth Integration, Premium Sound System, Blind Spot Monitor, Front Parking Sensors, Head-Up Display, Rear-View Camera, Stability Control, Tire Pressure Monitoring System, LED Fog Lights"
